BSSID,Protocol
08:cc:68:b4:bd:d4,802.11n
08:cc:68:b4:bf:2b,802.11ac
08:cc:68:b4:c4:8b,802.11ac
1c:e6:c7:3e:61:cd,802.11n
1c:e6:c7:5b:15:3b,802.11n
1c:e6:c7:5b:2b:c3,802.11ac
1c:e6:c7:5b:30:1b,802.11n
1c:e6:c7:5b:32:14,802.11n
54:78:1a:bf:6f:53,802.11ac
54:78:1a:bf:6f:5b,802.11n
84:78:ac:c0:5c:33,802.11ac
84:78:ac:c0:5c:3b,802.11n
a0:0f:37:4c:54:4b,802.11ac
a0:0f:37:4c:93:2b,802.11ac
d0:72:dc:53:5d:44,802.11n
f0:9e:63:14:66:8c,802.11n
f0:9e:63:14:78:e3,802.11n
f0:9e:63:14:78:ec,802.11n
f0:9e:63:14:8f:8c,802.11n
f0:9e:63:14:a1:03,802.11n
f0:9e:63:14:a9:23,802.11n
f0:9e:63:1c:b4:63,802.11n
f0:9e:63:1c:b4:6c,802.11n
d0:db:b7:9c:0d:e4,802.11ax
dc:8d:8a:41:c0:24,802.11ax
1a:59:c0:4d:c3:09,802.11ac
68:dd:b7:13:b7:65,802.11ax
54:af:97:5d:b9:24,802.11ax
08:cc:68:b4:a1:91,802.11n
08:cc:68:b4:a1:9e,802.11ac
08:cc:68:b4:a6:71,802.11n
08:cc:68:b4:a6:7e,802.11ac
08:cc:68:b4:b2:6e,802.11ac
08:cc:68:b4:bf:2e,802.11ac
08:cc:68:b4:c4:8e,802.11ac
1c:e6:c7:3e:60:c7,802.11ac
1c:e6:c7:3e:61:c7,802.11ac
1c:e6:c7:3e:61:cf,802.11n
1c:e6:c7:5b:15:3e,802.11n
1c:e6:c7:5b:2b:c6,802.11ac
1c:e6:c7:5b:2b:ce,802.11n
1c:e6:c7:5b:30:16,802.11ac
1c:e6:c7:5b:32:11,802.11n
1c:e6:c7:f0:25:41,802.11n
1c:e6:c7:f0:25:46,802.11ac
1c:e6:c7:f0:25:4e,802.11n
54:78:1a:bf:6f:56,802.11ac
54:78:1a:bf:6f:5e,802.11n
84:78:ac:c0:5c:36,802.11ac
84:78:ac:c0:5c:3e,802.11n
a0:0f:37:4c:54:4e,802.11ac
a0:0f:37:4c:93:2e,802.11ac
f0:9e:63:14:66:8e,802.11n
f0:9e:63:14:8f:8e,802.11n
f0:9e:63:14:a1:01,802.11n
f0:9e:63:1c:b4:61,802.11n
f0:9e:63:1c:b4:6e,802.11n
08:cc:68:b4:a1:93,802.11n
08:cc:68:b4:a1:9c,802.11ac
08:cc:68:b4:a6:7c,802.11ac
08:cc:68:b4:b2:6c,802.11ac
08:cc:68:b4:bf:2c,802.11ac
08:cc:68:b4:c0:7c,802.11ac
08:cc:68:b4:c4:8c,802.11ac
08:cc:68:b5:92:a3,802.11n
08:cc:68:b5:92:ac,802.11ac
1c:e6:c7:3e:61:cc,802.11n
1c:e6:c7:5b:2b:c4,802.11ac
1c:e6:c7:5b:2b:cc,802.11n
1c:e6:c7:5b:32:1c,802.11n
54:78:1a:bf:6f:54,802.11ac
54:78:1a:bf:6f:5c,802.11n
58:97:1e:56:57:2c,802.11n
5c:e1:76:0a:4f:cd,802.11ac
84:78:ac:c0:5c:34,802.11ac
a0:0f:37:4c:54:43,802.11n
a0:0f:37:4c:54:4c,802.11ac
a0:0f:37:4c:93:2c,802.11ac
f0:9e:63:14:66:8d,802.11n
f0:9e:63:14:78:ed,802.11n
f0:9e:63:14:8f:8d,802.11n
f0:9e:63:14:a1:02,802.11n
f0:9e:63:1c:b4:62,802.11n
f0:9e:63:1c:b4:6d,802.11n
1c:e6:c7:f0:25:41,802.11ac
1c:e6:c7:f0:25:46,802.11n
1c:e6:c7:f0:25:49,802.11n
9a:a6:7e:50:f6:ab,802.11ax
9a:a6:7e:57:1f:93,802.11ax
08:cc:68:b4:92:50,802.11n
08:cc:68:b4:a1:60,802.11n
08:cc:68:b4:af:4e,802.11ac
08:cc:68:b5:8f:ff,802.11ac
08:cc:68:b5:90:ce,802.11ac
08:cc:68:b5:f2:4f,802.11ac
1c:e6:c7:3e:60:ce,802.11n
1c:e6:c7:f0:1a:17,802.11ac
20:3a:07:e4:c0:47,802.11ac
7c:0e:ce:de:4f:cf,802.11ac
d0:c7:89:67:82:bf,802.11n
f0:9e:63:14:66:80,802.11n
f0:9e:63:1d:e4:2f,802.11n
08:cc:68:b4:92:54,802.11n
08:cc:68:b4:a1:64,802.11n
1c:e6:c7:f0:1a:13,802.11ac
20:3a:07:e4:c0:43,802.11ac
f0:9e:63:14:66:83,802.11n
f0:9e:63:14:a1:0c,802.11n
f0:9e:63:14:ab:c3,802.11n
f0:9e:63:1d:e4:2c,802.11n
7e:45:58:21:00:17,802.11n
82:45:58:22:00:17,802.11ac
78:45:58:45:c1:5d,802.11ac
f0:51:36:5a:03:d5,802.11n
48:f8:b3:39:cc:f2,802.11n
50:c7:bf:de:20:3a,802.11ac
08:cc:68:b4:92:51,802.11n
08:cc:68:b4:a1:61,802.11n
08:cc:68:b4:ae:d1,802.11n
08:cc:68:b4:af:4f,802.11ac
08:cc:68:b5:90:cf,802.11ac
1c:e6:c7:f0:1a:1e,802.11n
20:3a:07:e4:c0:46,802.11ac
20:3a:07:e4:c0:4e,802.11n
a0:0f:37:4c:9f:8f,802.11ac
d0:72:dc:53:5d:41,802.11n
f0:9e:63:14:66:81,802.11n
f0:9e:63:14:a1:0e,802.11n
f0:9e:63:1d:e4:2e,802.11n
08:cc:68:b4:92:53,802.11n
08:cc:68:b4:92:5c,802.11ac
08:cc:68:b4:a1:6c,802.11ac
08:cc:68:b4:ae:dc,802.11ac
08:cc:68:b4:af:4c,802.11ac
08:cc:68:b5:90:cc,802.11ac
1c:e6:c7:3e:60:cc,802.11n
1c:e6:c7:f0:1a:14,802.11ac
20:3a:07:e4:c0:44,802.11ac
20:3a:07:e4:c0:4c,802.11n
7c:0e:ce:dc:5d:0d,802.11ac
84:78:ac:c0:5c:3c,802.11n
f0:9e:63:14:66:82,802.11n
f0:9e:63:14:a1:0d,802.11n
f0:9e:63:1d:e4:2d,802.11n
82:45:58:21:00:17,802.11n
86:45:58:22:00:17,802.11ac
9a:a6:7e:57:1f:92,802.11ax
08:cc:68:b4:58:1f,802.11ac
08:cc:68:b4:5f:df,802.11ac
08:cc:68:b4:92:5f,802.11ac
08:cc:68:b4:ac:f0,802.11n
5c:e1:76:0a:15:4f,802.11ac
5c:e1:76:0a:20:ef,802.11ac
7c:0e:ce:dc:5d:00,802.11n
7c:0e:ce:dc:5d:0f,802.11ac
7c:0e:ce:de:50:d0,802.11n
7c:0e:ce:de:50:df,802.11ac
a8:9d:21:5c:c2:f0,802.11n
f0:9e:63:14:67:40,802.11n
f0:9e:63:14:7a:c0,802.11n
f0:9e:63:14:7b:20,802.11n
f0:9e:63:14:8e:e0,802.11n
f0:9e:63:14:94:a0,802.11n
f0:9e:63:14:94:af,802.11n
f0:9e:63:14:95:40,802.11n
f0:9e:63:14:a9:2f,802.11n
f0:9e:63:14:ab:00,802.11n
f0:9e:63:14:ab:0f,802.11n
f0:9e:63:14:ad:20,802.11n
f0:9e:63:14:ad:2f,802.11n
f0:9e:63:14:b0:c0,802.11n
f0:9e:63:14:b0:cf,802.11n
f0:9e:63:1d:bf:0f,802.11n
f0:9e:63:1d:ca:cf,802.11n
f0:9e:63:1d:e4:20,802.11n
f0:9e:63:1d:fb:40,802.11n
f0:9e:63:1d:fb:4f,802.11n
08:cc:68:b4:58:1b,802.11ac
08:cc:68:b4:5f:db,802.11ac
08:cc:68:b4:92:5b,802.11ac
08:cc:68:b5:8f:fb,802.11ac
5c:e1:76:0a:15:4c,802.11ac
5c:e1:76:0a:20:ec,802.11ac
7c:0e:ce:de:50:dc,802.11ac
f0:9e:63:14:67:43,802.11n
f0:9e:63:14:76:a3,802.11n
f0:9e:63:14:7b:23,802.11n
f0:9e:63:14:7d:23,802.11n
f0:9e:63:14:8e:e3,802.11n
f0:9e:63:14:8e:ec,802.11n
f0:9e:63:14:94:a3,802.11n
f0:9e:63:14:94:ac,802.11n
f0:9e:63:14:95:43,802.11n
f0:9e:63:14:a9:2c,802.11n
f0:9e:63:14:ab:03,802.11n
f0:9e:63:14:ab:0c,802.11n
f0:9e:63:14:ad:2c,802.11n
f0:9e:63:14:b0:c3,802.11n
f0:9e:63:1d:bf:03,802.11n
f0:9e:63:1d:bf:0c,802.11n
f0:9e:63:1d:ca:cc,802.11n
f0:9e:63:1d:e4:23,802.11n
f0:9e:63:1d:fb:43,802.11n
f0:9e:63:1d:fb:4c,802.11n
84:18:3a:98:04:18,802.11n
7e:45:58:21:19:9e,802.11n
50:c7:bf:de:20:3b,802.11n
d0:db:b7:9c:0d:e3,802.11ax
bc:a5:11:3d:fb:4e,802.11ac
08:cc:68:b4:58:1e,802.11ac
08:cc:68:b4:5f:de,802.11ac
08:cc:68:b4:ae:de,802.11ac
08:cc:68:b4:bb:ce,802.11ac
08:cc:68:b5:8f:fe,802.11ac
18:e7:28:03:10:ae,802.11n
5c:e1:76:0a:15:4e,802.11ac
5c:e1:76:0a:20:ee,802.11ac
5c:e1:76:0a:21:21,802.11n
7c:0e:ce:dc:5d:01,802.11n
7c:0e:ce:dc:5d:0e,802.11ac
7c:0e:ce:de:50:de,802.11ac
f0:9e:63:14:67:41,802.11n
f0:9e:63:14:76:a1,802.11n
f0:9e:63:14:7a:c1,802.11n
f0:9e:63:14:8e:e1,802.11n
f0:9e:63:14:8e:ee,802.11n
f0:9e:63:14:94:a1,802.11n
f0:9e:63:14:94:ae,802.11n
f0:9e:63:14:95:41,802.11n
f0:9e:63:14:a9:21,802.11n
f0:9e:63:14:a9:2e,802.11n
f0:9e:63:14:ab:01,802.11n
f0:9e:63:14:ab:0e,802.11n
f0:9e:63:14:ad:2e,802.11n
f0:9e:63:14:b0:c1,802.11n
f0:9e:63:14:b0:ce,802.11n
f0:9e:63:1d:bf:0e,802.11n
f0:9e:63:1d:ca:ce,802.11n
f0:9e:63:1d:e4:21,802.11n
f0:9e:63:1d:fb:41,802.11n
f0:9e:63:1d:fb:4e,802.11n
08:cc:68:b4:58:13,802.11n
08:cc:68:b4:58:1c,802.11ac
08:cc:68:b4:5f:dc,802.11ac
08:cc:68:b4:ae:d3,802.11n
08:cc:68:b5:8f:f3,802.11n
08:cc:68:b5:8f:fc,802.11ac
5c:e1:76:0a:15:4d,802.11ac
5c:e1:76:0a:20:ed,802.11ac
7c:0e:ce:dc:5d:02,802.11n
7c:0e:ce:de:50:dd,802.11ac
f0:9e:63:14:67:42,802.11n
f0:9e:63:14:76:a2,802.11n
f0:9e:63:14:7b:22,802.11n
f0:9e:63:14:7d:22,802.11n
f0:9e:63:14:8e:e2,802.11n
f0:9e:63:14:8e:ed,802.11n
f0:9e:63:14:94:a2,802.11n
f0:9e:63:14:94:ad,802.11n
f0:9e:63:14:95:42,802.11n
f0:9e:63:14:a9:22,802.11n
f0:9e:63:14:a9:2d,802.11n
f0:9e:63:14:ab:02,802.11n
f0:9e:63:14:ab:0d,802.11n
f0:9e:63:14:ad:2d,802.11n
f0:9e:63:14:b0:c2,802.11n
f0:9e:63:14:b0:cd,802.11n
f0:9e:63:1d:bf:02,802.11n
f0:9e:63:1d:bf:0d,802.11n
f0:9e:63:1d:ca:c2,802.11n
f0:9e:63:1d:ca:cd,802.11n
f0:9e:63:1d:e4:22,802.11n
f0:9e:63:1d:fb:42,802.11n
82:45:58:21:05:d4,802.11n
82:45:58:21:18:f3,802.11n
82:45:58:21:19:9e,802.11n
78:45:58:21:18:b7,802.11n
78:45:58:21:19:9e,802.11n
a4:2b:8c:57:10:a5,802.11n
94:a6:7e:b2:bf:4d,802.11ac
36:68:95:5a:52:76,802.11n
08:cc:68:b4:54:cf,802.11ac
08:cc:68:b4:7f:7f,802.11ac
1c:e6:c7:3e:da:bf,802.11n
1c:e6:c7:5b:89:31,802.11n
a0:0f:37:4c:7b:0e,802.11ac
a0:0f:37:4c:9f:8e,802.11ac
08:cc:68:b4:54:cb,802.11ac
08:cc:68:b4:9e:3b,802.11ac
08:cc:68:b4:ac:fb,802.11ac
08:cc:68:b5:96:0b,802.11ac
1c:e6:c7:3e:da:bb,802.11n
a0:0f:37:4c:7b:0d,802.11ac
a0:0f:37:4c:9f:8d,802.11ac
a8:9d:21:5c:c2:f4,802.11n
7e:45:58:1d:f0:a1,802.11n
7e:45:58:1d:f6:ef,802.11n
82:45:58:1e:f0:a1,802.11ac
82:45:58:1e:f4:ae,802.11ac
82:45:58:1e:f8:ff,802.11ac
78:45:58:44:c1:5d,802.11n
10:7b:44:c4:22:44,802.11ac
02:11:87:c1:d8:6f,802.11g
08:cc:68:b4:54:ce,802.11ac
08:cc:68:b4:58:11,802.11n
08:cc:68:b4:5a:1e,802.11ac
08:cc:68:b4:9e:3e,802.11ac
08:cc:68:b4:ac:fe,802.11ac
08:cc:68:b5:91:fe,802.11ac
a0:0f:37:4c:7b:0f,802.11ac
a8:9d:21:5c:c2:f1,802.11n
08:cc:68:b4:9e:3c,802.11ac
a0:0f:37:4c:7b:03,802.11n
a0:0f:37:4c:7b:0c,802.11ac
a0:0f:37:4c:9f:8c,802.11ac
a8:9d:21:5c:c2:f3,802.11n
82:45:58:1d:f0:a1,802.11n
82:45:58:21:19:76,802.11n
86:45:58:1e:f0:a1,802.11ac
86:45:58:1e:f4:ae,802.11ac
86:45:58:1e:f8:ff,802.11ac
78:45:58:1d:f0:a1,802.11n
7e:45:58:1e:f0:a1,802.11ac
7e:45:58:1e:f4:ae,802.11ac
7e:45:58:1e:f8:ff,802.11ac
78:45:58:1d:f6:ef,802.11n
26:e8:53:38:0b:7c,802.11n
26:e8:53:38:0b:d4,802.11n
de:03:98:c7:7a:93,802.11n
de:03:98:c7:92:06,802.11n
de:03:98:d5:bc:39,802.11n
de:03:98:d5:c1:20,802.11n
08:cc:68:b4:58:10,802.11n
08:cc:68:b4:9e:3f,802.11ac
1c:e6:c7:3e:60:c6,802.11ac
1c:e6:c7:3e:61:c6,802.11ac
1c:e6:c7:e0:1f:2f,802.11n
1c:e6:c7:3e:60:c5,802.11ac
1c:e6:c7:3e:60:cd,802.11n
1c:e6:c7:3e:61:c5,802.11ac
7c:0e:ce:de:50:d3,802.11n
f0:9e:63:14:7a:c3,802.11n
f0:9e:63:1d:ca:23,802.11n
f0:9e:63:1d:f2:cc,802.11n
84:18:3a:98:5c:28,802.11n
7e:45:58:1d:fb:e8,802.11n
7e:45:58:21:06:91,802.11n
7e:45:58:21:19:4a,802.11n
bc:a5:11:97:5f:06,802.11ac
c2:a5:11:97:5f:04,802.11ac
84:18:3a:d8:04:18,802.11n
84:18:3a:d8:5c:28,802.11n
84:18:3a:18:4e:79,802.11n
1c:e6:c7:3e:da:be,802.11n
1c:e6:c7:e0:1f:2e,802.11n
7c:0e:ce:de:50:d1,802.11n
a8:9d:21:5f:4c:9e,802.11ac
f0:9e:63:14:94:4e,802.11n
f0:9e:63:1d:f9:0e,802.11n
08:cc:68:b4:5a:1c,802.11ac
08:cc:68:b4:8d:7c,802.11ac
1c:e6:c7:3e:60:c4,802.11ac
1c:e6:c7:3e:61:c4,802.11ac
1c:e6:c7:3e:da:bc,802.11n
1c:e6:c7:e0:1f:2c,802.11n
7c:0e:ce:de:50:d2,802.11n
a0:0f:37:4c:09:e3,802.11n
a8:9d:21:5f:4c:9d,802.11ac
f0:9e:63:14:7a:c2,802.11n
f0:9e:63:1d:ca:22,802.11n
82:45:58:1d:fb:e8,802.11n
82:45:58:21:19:4a,802.11n
78:45:58:21:19:4a,802.11n
d8:38:fc:df:10:bc,802.11ac
08:cc:68:b4:ac:ff,802.11ac
08:cc:68:b5:91:ff,802.11ac
08:cc:68:b5:c7:ef,802.11ac
1c:e6:c7:5b:89:3e,802.11n
f0:9e:63:14:89:60,802.11n
f0:9e:63:14:a2:ef,802.11n
f0:9e:63:1d:ff:0f,802.11n
08:cc:68:b4:7f:7b,802.11ac
08:cc:68:b4:92:2b,802.11ac
08:cc:68:b5:91:fb,802.11ac
08:cc:68:b5:c7:eb,802.11ac
f0:9e:63:14:89:63,802.11n
f0:9e:63:14:a2:ec,802.11n
f0:9e:63:1d:f9:0c,802.11n
f0:9e:63:1d:ff:0c,802.11n
24:c9:a1:ab:e3:ac,802.11n
6c:aa:b3:84:55:3c,802.11n
84:18:3a:98:04:1c,802.11n
84:18:3a:98:2f:dc,802.11n
84:18:3a:98:5c:2c,802.11n
84:18:3a:98:5f:1c,802.11n
84:18:3a:98:5f:5c,802.11n
84:18:3a:98:ac:7c,802.11n
84:18:3a:98:d7:0c,802.11n
82:45:58:1e:fb:e8,802.11ac
82:45:58:22:06:91,802.11ac
82:45:58:22:18:f3,802.11ac
82:45:58:22:19:9e,802.11ac
24:c9:a1:eb:e3:ac,802.11n
6c:aa:b3:c4:55:3c,802.11n
84:18:3a:d8:04:1c,802.11n
84:18:3a:d8:5c:2c,802.11n
84:18:3a:d8:5f:1c,802.11n
84:18:3a:d8:5f:5c,802.11n
84:18:3a:d8:ac:7c,802.11n
84:18:3a:d8:d7:0c,802.11n
d8:38:fc:1f:10:bc,802.11ac
24:c9:a1:2b:e3:ad,802.11n
6c:aa:b3:04:55:3d,802.11n
84:18:3a:18:04:1d,802.11n
84:18:3a:18:5c:2d,802.11n
84:18:3a:18:5f:1d,802.11n
84:18:3a:18:5f:5d,802.11n
84:18:3a:18:ac:7d,802.11n
84:18:3a:18:b2:ed,802.11n
84:18:3a:18:d7:0d,802.11n
08:cc:68:b4:7f:7e,802.11ac
1c:e6:c7:3e:60:cf,802.11n
f0:9e:63:14:76:ae,802.11n
f0:9e:63:1d:f2:ce,802.11n
f0:9e:63:1d:ff:0e,802.11n
08:cc:68:b4:54:cc,802.11ac
08:cc:68:b5:c7:ec,802.11ac
1c:e6:c7:5b:89:3c,802.11n
1c:e6:c7:f0:1b:d4,802.11ac
f0:9e:63:14:76:ad,802.11n
f0:9e:63:1d:f2:cd,802.11n
f0:9e:63:1d:ff:0d,802.11n
86:45:58:1e:ea:02,802.11ac
86:45:58:1e:fb:e8,802.11ac
86:45:58:22:06:91,802.11ac
86:45:58:22:18:f3,802.11ac
7e:45:58:1e:ea:02,802.11ac
7e:45:58:1e:fb:e8,802.11ac
7e:45:58:22:06:91,802.11ac
7e:45:58:22:18:f3,802.11ac
7e:45:58:22:19:9e,802.11ac
d8:38:fc:cb:22:ec,802.11ac
26:e8:53:38:1e:ce,802.11n
26:e8:53:38:22:75,802.11n
fa:b9:5a:cb:86:6b,802.11n
de:03:98:c7:91:f4,802.11n
08:cc:68:b4:92:2f,802.11ac
a8:9d:21:5f:51:f1,802.11n
a8:9d:21:5f:51:fe,802.11ac
08:cc:68:b4:52:2b,802.11ac
a8:9d:21:5f:51:f2,802.11n
a8:9d:21:5f:51:fd,802.11ac
84:18:3a:98:d7:08,802.11n
e0:10:7f:9c:3e:ec,802.11n
26:5a:4c:95:79:fd,802.11n
7e:45:58:1d:f3:9f,802.11n
7e:45:58:1d:f4:ae,802.11n
7e:45:58:21:05:d4,802.11n
82:45:58:1e:ff:f6,802.11ac
d8:38:fc:4b:22:ec,802.11ac
8a:45:58:1e:ff:f6,802.11ac
e0:10:7f:5c:3e:e7,802.11n
fa:9e:38:70:b8:95,802.11ac
f2:9e:38:70:b8:95,802.11ac
fe:9e:38:70:b8:95,802.11ac
f6:9e:38:70:b8:95,802.11ac
84:18:3a:d8:d7:08,802.11n
d8:38:fc:b9:a2:9c,802.11ac
e0:10:7f:dc:3e:ec,802.11n
d8:38:fc:0b:22:ec,802.11ac
d8:38:fc:1f:13:6c,802.11ac
d8:38:fc:f9:a2:9c,802.11ac
e0:10:7f:1c:3e:ed,802.11n
84:18:3a:18:d7:09,802.11n
a8:9d:21:5f:51:f0,802.11n
a8:9d:21:5f:51:ff,802.11ac
08:cc:68:b4:52:2c,802.11ac
08:cc:68:b5:91:fc,802.11ac
a8:9d:21:5f:51:f3,802.11n
a8:9d:21:5f:51:fc,802.11ac
82:45:58:1d:f3:9f,802.11n
82:45:58:1d:f4:ae,802.11n
82:45:58:1d:f8:ff,802.11n
82:45:58:1d:ff:f6,802.11n
82:45:58:21:17:81,802.11n
86:45:58:1e:ff:f6,802.11ac
78:45:58:1d:f3:9f,802.11n
78:45:58:1d:f4:ae,802.11n
78:45:58:1d:f8:ff,802.11n
78:45:58:21:05:d4,802.11n
78:45:58:21:06:91,802.11n
7e:45:58:1e:ff:f6,802.11ac
7e:45:58:22:00:17,802.11ac
50:d4:f7:56:11:0c,802.11ac
d8:33:b7:e3:29:96,802.11ax
ea:9e:38:70:b8:95,802.11ac
d8:38:fc:df:18:8c,802.11ac
fa:b9:5a:57:83:9c,802.11n
de:03:98:fd:92:e8,802.11n
fa:b9:5a:cb:b0:99,802.11n
de:03:98:9f:ea:7e,802.11n
26:e8:53:37:f1:7e,802.11n
fa:92:bf:ce:75:1e,802.11ac
1c:e6:c7:5b:89:36,802.11ac
a0:0f:37:4c:7b:01,802.11n
a8:9d:21:5f:4c:90,802.11n
a8:9d:21:5f:4c:9f,802.11ac
1c:e6:c7:5b:89:35,802.11ac
a0:0f:37:4c:7b:02,802.11n
a8:9d:21:5f:4c:93,802.11n
a8:9d:21:5f:4c:9c,802.11ac
26:5a:4c:a5:79:fe,802.11ac
7e:45:58:1d:f8:ff,802.11n
7e:45:58:1d:fa:37,802.11n
82:45:58:1e:fa:37,802.11ac
90:72:40:25:07:e0,802.11n
d8:38:fc:5f:18:8c,802.11ac
86:45:58:1d:ff:f6,802.11n
d8:38:fc:1f:18:8c,802.11ac
a0:0f:37:4c:7b:00,802.11n
08:cc:68:b4:ac:fc,802.11ac
a8:9d:21:5f:4c:92,802.11n
26:5a:4c:a5:79:fd,802.11n
26:5a:4c:b5:79:fe,802.11ac
82:45:58:1d:fa:37,802.11n
82:45:58:21:06:91,802.11n
86:45:58:1e:fa:37,802.11ac
24:5a:4c:95:79:fd,802.11n
26:5a:4c:95:79:fe,802.11ac
78:45:58:1d:ea:02,802.11n
78:45:58:1d:ff:f6,802.11n
78:45:58:21:0a:ca,802.11n
7e:45:58:1e:fa:37,802.11ac
30:91:8f:a2:9a:39,802.11n
d8:38:fc:cf:21:ec,802.11ac
d8:38:fc:cf:36:0c,802.11ac
d8:38:fc:df:13:dc,802.11ac
d8:38:fc:df:18:4c,802.11ac
d8:38:fc:f4:90:2c,802.11ac
d8:38:fc:f4:90:4c,802.11ac
d8:38:fc:f4:90:6c,802.11ac
26:e8:53:38:22:34,802.11n
de:03:98:6d:04:39,802.11n
de:03:98:c7:15:e6,802.11n
de:03:98:c7:1b:8f,802.11n
26:e8:53:38:22:46,802.11n
fa:b9:5a:3e:76:40,802.11n
fa:b9:5a:3e:76:75,802.11n
fa:b9:5a:3e:77:2f,802.11n
de:03:98:c7:8f:02,802.11n
de:03:98:c7:8f:49,802.11n
de:03:98:c7:92:85,802.11n
de:03:98:fd:98:d9,802.11n
de:03:98:c7:9a:41,802.11n
fa:b9:5a:cb:b0:d0,802.11n
de:03:98:9f:d4:c0,802.11n
de:03:98:9f:d4:fa,802.11n
de:03:98:9f:db:0d,802.11n
de:03:98:9f:e4:12,802.11n
de:03:98:9f:e4:1a,802.11n
de:03:98:9f:e4:2b,802.11n
de:03:98:9f:e4:2e,802.11n
de:03:98:9f:e4:31,802.11n
de:03:98:c6:f6:d0,802.11n
de:03:98:c6:f7:4c,802.11n
f4:92:bf:cd:75:1e,802.11n
a0:0f:37:4c:09:e1,802.11n
d0:72:dc:53:60:8f,802.11ac
d0:72:dc:53:60:8b,802.11ac
7e:45:58:1d:fe:05,802.11n
7e:45:58:21:18:b7,802.11n
d8:38:fc:4f:21:ec,802.11ac
d8:38:fc:4f:36:0c,802.11ac
d8:38:fc:5f:13:dc,802.11ac
d8:38:fc:5f:18:38,802.11n
d8:38:fc:5f:18:48,802.11n
d8:38:fc:5f:18:4c,802.11ac
d8:38:fc:74:90:2c,802.11ac
d8:38:fc:74:90:48,802.11n
d8:38:fc:74:90:4c,802.11ac
d8:38:fc:74:90:68,802.11n
d8:38:fc:74:90:6c,802.11ac
 0x536f7068 6965e280 9973206c 61697220 ... 65616b65 722e6f2c },802.(null)
d8:38:fc:0f:21:ec,802.11ac
d8:38:fc:0f:36:0c,802.11ac
d8:38:fc:1f:13:0c,802.11ac
d8:38:fc:1f:13:dc,802.11ac
d8:38:fc:1f:18:38,802.11n
d8:38:fc:1f:18:48,802.11n
d8:38:fc:1f:18:4c,802.11ac
d8:38:fc:34:90:28,802.11n
d8:38:fc:34:90:2c,802.11ac
d8:38:fc:34:90:48,802.11n
d8:38:fc:34:90:68,802.11n
d8:38:fc:34:90:6c,802.11ac
1c:e6:c7:5b:89:3f,802.11n
a0:0f:37:4c:09:e0,802.11n
a8:9d:21:5f:4c:91,802.11n
1c:e6:c7:3e:60:c3,802.11n
82:45:58:21:18:b7,802.11n
b0:a7:b9:50:1e:5e,802.11ax
d8:33:b7:10:82:a6,802.11ax
9c:c9:eb:4d:6e:18,802.11ac
